statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
12,007,Florida,Bradford County,28539,28477,27133,26895,26681,26928
12,009,Florida,Brevard County,543966,544323,547495,551148,556902,568088
12,011,Florida,Broward County,1753263,1787582,1818491,1843583,1869679,1896425
12,013,Florida,Calhoun County,14632,14766,14706,14632,14511,14462
12,015,Florida,Charlotte County,159947,159641,162831,164892,168437,173115
12,017,Florida,Citrus County,141266,139755,139256,138985,139217,141058
12,019,Florida,Clay County,191436,192340,194341,196559,199876,203967
12,021,Florida,Collier County,322683,327742,332515,339537,348355,357305
12,023,Florida,Columbia County,67571,67307,67911,67542,67923,68348
12,027,Florida,DeSoto County,34921,34671,34808,34692,35157,35458
12,029,Florida,Dixie County,16402,16349,16060,15946,15897,16203
12,031,Florida,Duval County,865785,872455,880959,887586,899353,913010
12,033,Florida,Escambia County,298165,299653,304191,307753,309034,311003
12,035,Florida,Flagler County,96078,97349,98580,100035,102561,105392
12,037,Florida,Franklin County,11535,11495,11629,11556,11699,11761
12,039,Florida,Gadsden County,47792,47325,46560,46053,46147,46036
12,041,Florida,Gilchrist County,16994,16986,16878,16921,16977,17199
12,043,Florida,Glades County,12938,13134,12978,13098,13479,13670
12,045,Florida,Gulf County,15814,15665,15669,15790,15932,15871
12,047,Florida,Hamilton County,14672,14598,14708,14324,14051,14295
12,049,Florida,Hardee County,27738,27645,27391,27362,27441,27502
12,051,Florida,Hendry County,39040,38820,37671,37730,38476,39119
12,053,Florida,Hernando County,172970,172838,173047,174016,175704,178439
12,055,Florida,Highlands County,98665,98284,97998,97762,98104,99491
12,057,Florida,Hillsborough County,1233831,1271399,1281606,1294039,1318325,1349050
12,059,Florida,Holmes County,19859,19823,19730,19648,19650,19324
12,061,Florida,Indian River County,138233,138979,140640,142021,144772,147919
12,063,Florida,Jackson County,49616,49121,48977,49006,48796,48599
12,065,Florida,Jefferson County,14747,14497,14196,14182,14035,14081
12,067,Florida,Lafayette County,8814,8818,8813,8854,8859,8663
12,069,Florida,Lake County,297847,299811,303372,308010,315736,325875
12,071,Florida,Lee County,620532,631368,644865,660929,679233,701982
12,073,Florida,Leon County,276042,278307,283849,282209,284064,286272
12,075,Florida,Levy County,40721,40243,39938,39582,39508,39832
12,077,Florida,Liberty County,8339,8227,8244,8308,8363,8331
12,079,Florida,Madison County,19231,19092,18915,18711,18521,18408
12,081,Florida,Manatee County,323429,327320,333954,342229,351771,363369
12,083,Florida,Marion County,331421,332272,334094,335688,338749,343254
12,085,Florida,Martin County,146979,147647,148913,151550,153538,156283
12,086,Florida,Miami-Dade County,2508171,2580077,2611183,2641928,2668903,2693117
12,087,Florida,Monroe County,73213,74067,74835,76265,76858,77482
12,089,Florida,Nassau County,73528,74142,74616,75599,76597,78444
12,091,Florida,Okaloosa County,180757,183208,190207,193458,195650,198664
12,093,Florida,Okeechobee County,40027,39424,39260,39006,39114,39469
12,095,Florida,Orange County,1148823,1170461,1202506,1227607,1256495,1288126
12,097,Florida,Osceola County,269825,278903,289363,300124,311965,323993
12,099,Florida,Palm Beach County,1324171,1338500,1358396,1375826,1398518,1422789
12,101,Florida,Pasco County,465474,466523,470618,475751,485640,497909
12,103,Florida,Pinellas County,916440,917730,921999,929683,938144,949827
12,105,Florida,Polk County,603192,609544,615584,622895,635264,650092
12,107,Florida,Putnam County,74238,73912,73065,72442,72040,72023
12,109,Florida,St. Johns County,191258,196019,202241,209532,218043,226640
12,111,Florida,St. Lucie County,278264,280764,283525,286223,290957,298563
12,113,Florida,Santa Rosa County,152953,155719,158374,160726,163244,167040
12,115,Florida,Sarasota County,379937,381485,386028,390105,397024,405549
12,117,Florida,Seminole County,423070,427037,431360,436654,442533,449144
12,119,Florida,Sumter County,94279,98581,102781,108253,114000,118891
12,121,Florida,Suwannee County,42315,43334,43480,43584,43818,43760
12,123,Florida,Taylor County,22573,22682,22748,22898,22603,22493
12,125,Florida,Union County,15534,15235,15238,15081,15168,15234
12,127,Florida,Volusia County,494610,494489,497123,501367,507729,517887
12,129,Florida,Wakulla County,30835,30938,30804,30965,31399,31535
12,131,Florida,Walton County,55248,55642,57299,59425,61559,63508
12,133,Florida,Washington County,24754,24582,24835,24605,24435,24687
13,000,Georgia,Georgia,9713454,9812280,9917639,9991562,10097132,10214860
13,001,Georgia,Appling County,18328,18440,18366,18349,18477,18454
13,003,Georgia,Atkinson County,8360,8358,8240,8272,8203,8398
13,005,Georgia,Bacon County,11082,11188,11179,11198,11248,11299
13,007,Georgia,Baker County,3435,3317,3367,3324,3274,3180
13,009,Georgia,Baldwin County,45702,45096,46458,46138,45822,45459
13,011,Georgia,Banks County,18409,18336,18235,18299,18313,18495
13,013,Georgia,Barrow County,69692,69869,70197,71435,73190,75370
13,015,Georgia,Bartow County,100139,100292,100525,101322,101795,102747
13,017,Georgia,Ben Hill County,17633,17590,17532,17445,17417,17403
13,019,Georgia,Berrien County,19342,19348,19074,18993,18717,18963
13,021,Georgia,Bibb County,155586,155763,156123,154553,153918,153721
13,023,Georgia,Bleckley County,13041,13053,12903,12739,12794,12243
13,025,Georgia,Brantley County,18456,18570,18541,18284,18408,18455
13,027,Georgia,Brooks County,16263,15954,15526,15627,15421,15658
13,029,Georgia,Bryan County,30403,31254,32284,33158,33921,35137
13,031,Georgia,Bulloch County,70639,72853,72853,71358,72217,72651
